sentence,label,vector
你安然,1,"[1,0,0,0,0]"
你自在,1,"[1,0,0,0,0]"
你欢喜,1,"[1,0,0,0,0]"
你无忧,1,"[1,0,0,0,0]"
你顺遂,1,"[1,0,0,0,0]"
念你安,2,"[0,1,0,0,0]"
盼你归,2,"[0,1,0,0,0]"
等你回,2,"[0,1,0,0,0]"
想你笑,2,"[0,1,0,0,0]"
望你好,2,"[0,1,0,0,0]"
你问,1,"[1,0,0,0,0]"
你写,1,"[1,0,0,0,0]"
你读,1,"[1,0,0,0,0]"
你听我,1,"[1,0,0,0,0]"
你等我,1,"[1,0,0,0,0]"
你回眸,1,"[1,0,0,0,0]"
你浅笑,1,"[1,0,0,0,0]"
你轻语,1,"[1,0,0,0,0]"
你回眸望,1,"[1,0,0,0,0]"
你轻声说,1,"[1,0,0,0,0]"
为你,2,"[0,1,0,0,0]"
因你,2,"[0,1,0,0,0]"
为寻你,3,"[0,0,1,0,0]"
为等你,3,"[0,0,1,0,0]"
为念你,3,"[0,0,1,0,0]"
为见你,3,"[0,0,1,0,0]"
为遇你,3,"[0,0,1,0,0]"
为守你,3,"[0,0,1,0,0]"
只为你,3,"[0,0,1,0,0]"
独钟你,3,"[0,0,1,0,0]"
风绕你,3,"[0,0,1,0,0]"
云伴你,3,"[0,0,1,0,0]"
星照你,3,"[0,0,1,0,0]"
月随你,3,"[0,0,1,0,0]"
轻抚你发,3,"[0,0,1,0,0]"
静看你行,3,"[0,0,1,0,0]"
细听你言,3,"[0,0,1,0,0]"
轻拥你入怀,3,"[0,0,1,0,0]"
常伴你身,3,"[0,0,1,0,0]"
久随你影,3,"[0,0,1,0,0]"
余生只护你,5,"[0,0,0,0,1]"
一世只念你,5,"[0,0,0,0,1]"
温柔只给你,5,"[0,0,0,0,1]"
深情只予你,5,"[0,0,0,0,1]"
悄悄喜欢你,5,"[0,0,0,0,1]"
默默守护你,5,"[0,0,0,0,1]"
轻轻贴近你,5,"[0,0,0,0,1]"
静静思念你,5,"[0,0,0,0,1]"
久久牵挂你,5,"[0,0,0,0,1]"
真真疼爱你,5,"[0,0,0,0,1]"
此生唯念你,5,"[0,0,0,0,1]"
一世唯爱你,5,"[0,0,0,0,1]"
万事皆因你,5,"[0,0,0,0,1]"
满心皆为你,5,"[0,0,0,0,1]"
四季皆陪你,5,"[0,0,0,0,1]"
流年皆伴你,5,"[0,0,0,0,1]"
